product_name,uom,possible_purchase_uoms,average_price,lowest_price,highest_price,total_quantity,vendor_count,vendors,po_count
"160 LBS Extra Large Sand Bags for Canopy Legs (Without Sand), Zipper Top Sandbags for Weight Set of 4 (Black)",Units,Units,19.99,19.99,19.99,1.0,1,Amazon,1
BBQ sauce,100-pc,100-pc,21.72,21.72,21.72,2.0,1,Resturant Depot,1
"BETCKEY - 2.25"" x 1.25"" (57 mm x 32 mm) UPC Barcode & Multipurpose Labels Compatible with Zebra & Roll",Units,Units,34.55,34.55,34.55,4.0,1,Amazon,1
Bamboo Sticks,1000-pc,1000-pc,7.49,7.49,7.49,4.0,1,WebstaurantStore,1
Bananas,lb,lb,0.7194366197183099,0.53,0.96,26.270000000000003,3,"IC-ALDI, IC-Jewel-Osco, IC-Tony's Fresh Market",8
Basil,lb,lb,5.95,5.95,5.95,1.01,1,Park To Shop,1
Biscoff,250g,2kg,2.97,2.97,2.97,1.0,1,Amazon,1
Blueberry,lb,310g,5.643021577119669,4.813882710991455,7.301299309376097,3.0,2,"IC-ALDI, IC-Tony's Fresh Market",3
Can Coconut Cream,400g,400g,1.8399999999999999,1.51,3.49,12.0,2,"Amazon, IC-Jewel-Osco",2
Checkout Bag Fee,Units,Units,1.0,1.0,1.0,2.3699999999999997,3,"IC-ALDI, IC-Jewel-Osco, IC-Tony's Fresh Market",10
Chicken Breast,lb,lb,1.7522222222222221,1.49,2.08,360.0,1,Resturant Depot,2
Chicken Nuggets 5-LB,5-lb,10-lb,14.350361511504687,14.232756107661494,14.467966915347882,8.0,1,Resturant Depot,2
Coconut milk,gal (US),64 -fl oz(US),11.179864241836773,9.97990020099799,11.979880201197988,5.0,2,"IC-Jewel-Osco, IC-Tony's Fresh Market",3
Crinkle Cut Fries 5-LB,5-lb,30-lb,4.131204313200836,3.973562961455438,4.288845664946235,2.0,1,Resturant Depot,2
Difference,Units,Units,1.0,1.0,1.0,0.06999999999999999,3,"Amazon, Park To Shop, WebstaurantStore",3
Dish Detergent,gal (US),5-gal (US),7.052,7.052,7.052,1.0,1,Resturant Depot,1
Disinfectant Test Strips,Units,100-pc,0.12960000000000002,0.12960000000000002,0.12960000000000002,2.0,1,WebstaurantStore,1
Eggs,Units,"15-dozens, Dozens",0.29752222222222224,0.15761111111111112,0.3325,5.0,2,"IC-Costco Bussiness, IC-Tony's Fresh Market",2
FZ Mango Chunks,lb,5-lb,1.976226195830242,1.97622600778701,1.976226336862666,14.0,1,Costco,2
FZ Pineapple Chunks,lb,10-lb,2.0699989650005173,2.0699989650005173,2.0699989650005173,2.0,1,Resturant Depot,1
FZ Strawberry Chunks,lb,"10-lb, 30-lb",1.7531661344724307,1.43999928000036,2.0663329889445015,4.0,2,"Resturant Depot, WebstaurantStore",2
Ferrero Rocher,Units,42-pc,0.5342857142857143,0.5342857142857143,0.5342857142857143,1.0,1,Amazon,1
Galaxy Equipment 10' x 10' White Straight Leg Instant Pop Up Canopy Tent,Units,Units,89.99,89.99,89.99,1.0,1,WebstaurantStore,1
Glove,Units,100-pc,0.329,0.329,0.329,2.0,1,Resturant Depot,1
Grapefruits,lb,"3-lb, lb",1.6011780166017335,1.59,1.6633277889073703,6.56,2,"IC-Jewel-Osco, IC-Tony's Fresh Market",2
Greek Yogurt,850g,850g,4.150000000000001,4.15,4.15,9.0,1,IC-ALDI,4
Green Grape,lb,"3-lb, lb",2.6945066972759504,2.33,2.99,11.98,4,"Costco, IC-ALDI, IC-Costco Bussiness, IC-Jewel-Osco",5
Green Onion,Units,Units,0.33,0.33,0.33,3.0,1,Park To Shop,1
Grocery Tax,Units,Units,1.0,1.0,1.0,0.11,1,Mariano's,1
Grocery Tip,Units,Units,1.0,1.0,1.0,28.099999999999998,4,"IC-ALDI, IC-Costco Bussiness, IC-Jewel-Osco, IC-Tony's Fresh Market",11
HF20-S Water Filter Compatible with 3M® HF20-S HF20-MS HF25-S (2 Pack),Units,Units,54.99,54.99,54.99,1.0,1,Amazon,1
